Category,Count,Examples
US and International News,39,BBC; BBC; BBC; BBC; BBC; BBC; BBC; China; China; China; China; China; NATO; NATO; NATO; NATO; Russia; The Guardian; The Guardian; The Guardian; The New York Times; The New York Times; The New York Times; The New York Times; The New York Times; UN; UN; White House; bbc; china; china; cnn; cnn; nato; nato; russia; the new york times; white house; white house
Log files and error reports,0,
"License, terms of use, copyright notices",2,copyright; license
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,0,
Valid URLs,3,www.fas.org; www.fbi.gov; www.laweekly.com
Named individuals (non-news samples only),628,Alan Greenspan; Albert Lasker; Alderney; Andrew Jackson; Andrew Lycett; Arnold Schwarzenegger; Arthur; Arthur Sullivan; Barack Obama; Barack Obama; Barack Obama; Bart; Beatles; Bill; Bill Clinton; Bill Clinton; Bill Clinton; Billboard; Bob Dylan; Bobby Orr; Bologna; Brian Lowry; Brian Oldfield; Brian Williams; Brown; Bush; Bush; Carey; Carl Nielsen; Charles Darwin; Charlie Boxold; Chaut; Christopher John; Cixi; Clerk; Cusick; Daniel Defoe; Dario L; Darwin; Darwin; Dave Hughes; David; David Arnold; David Bowie; David Foster; David Garrick; David Hume; David Koepp; David Letterman; David Miliband; David Nutter; David Palmer; David Peebles; Delph; Dibbert Inc; Dibbert Inc; Dinos; Dinos; Don; Draft; Draft; Draft; Dylan; Edith King; Edward Drinker Cope; Edward Heath; Edward James; Edward James; Edward James; Edward James; Eisenhower; Elizabeth; Elton John; Emard LLC; Emard LLC; Emard LLC; Eric Bischoff; Eric Stefani; Ester Dean; Ethel; Famos; Fiona; Foster; Garrick; Gazette; Geddes; Geezer; Gennett; George Ford; George Harrison; George Orwell; George Orwell; George Orwell; George Orwell; George V; George VI; Gordon Brown; Gordon Brown; Gospel; Graham; Grousel; Guest; H.A.; Haddock; Harrison; Harry Potter; Harry Reid; Henry Clinton; Henry Moore; Hitler; Hlne; Homer; Homer Simpson; Hrud; Ian Smith; Ian Smith; Iggy Pop; Jack; Jack Greene; Jack Sheph; Jack Sheph; Jackpot; James Brown; James Caldwell; James Fenton; James L. Brooks; James Russell Lowell; Jammie; Jan Clayton; Jane Parker; Jazmyne; Jazmyne; Jeff Bridges; Jeff Bridges; Jeff Weiss; Jeremy Thompson; Jesus; Jesus; Jesus; Jesus Christ; Jesus Christ; Jim; Jim; Jim Caruana; Jim Reardon; Joe; Joe; Joe Biden; John; John A. Kennedy; John Belushi; John Bright; John Cage; John Goodman; John H. Church; John Krasinski; John Peel; John Ray; John Rennie; John Thomson; John Travolta; John Travolta; John Wayne; John Williams; Jos Capablanca; Jose; Jose; Jose; Joseph Needham; Joseph Smith; Joss Whedon; Judea; Jus; Kathana; Kathana; Kelly; Kelly Rowan; Kenji Ito; Kennedy; Koss; Krakauer; Kristin; Kristine; Kuba; Kuba; Labour; Laine; Langosh; Langosh; Law; Law; Leko; Leko; Leonard Bernstein; Lifestyle; Lindgren; Lindgren; Lindgren; Linguistics; Lisa Kudrow; Listener; Lucy Butler; Lueilwitz; Lueilwitz; Lyle; Lyndon B. Johnson; Mach; Malawi; Malawi; Malcolm Sargent; Mani; Mani; Marshall; Mary Anne; Mary Anne; Matt Groen; Matt Groening; Maya; Meleager; Meryl Streep; Michael; Michael G. Wilson; Michael Jackson; Michael Matthews; Michael Powell; Michael Richards; Michael s; Mih; Mike Gibbons; Mike Myers; Model Canvas; Moore; Mraz; Muhammad al - Ali; Mummy; Munchkins; Myron; Neil; Nigel; Obama; Oldfield; Paine; Patrick Leahy; Paul Simon; Paul Smith; Paul Weller; Peter Brook; Peter Falk; Peter Morgan; Peter Robinson; Peter Travers; Peter Weller; Pietro; Pietro; Pollich; Puck; R. Kelly; Rachel; Ralph Waldo Emerson; Raven; Reid; Richard Taylor; Robert; Robert G; Robert Louis Stevenson; Robert Louis Stevenson; Robert R. Shafer; Rock An; Roger McGuinn; Ron Hauge; Ruf; Ruf; Runaway; Ruth; Sabrina; Sabrina; Schowalter; Scotsman; Shaggy; Shakespeare; Shakespeare; Sibelius; Simeon; Simon Hale; Simon Reynolds; Smith; Sontheimer; St James; Steve Martin; Steve Miller; Steve Rogers; Stuart Pearce; Sue; Sukarno; Supermarine Walrus; Susan; Ted; The Man; Theodore Roosevelt; Thomas; Thomas Turner; Thomas Wilson; Tinkoff; Tom Araya; Tom Phillips; Tony; Tony Blair; Tony Blair; Tony Gardner; Val Guest; Vlachs; Vol; Wahl; Walsingham; Walsingham; Walsingham; Walsingham; Welch; Welch; William Blackstone; William Lyon Mackenzie; William O. Douglas; William Shakespeare; William Shakespeare; Woodford; Zrich; \s; al; al; alan subject; albert einstein; albert einstein; alive.[17; anderson; anderson; anderson; andy nash; ann-marie; apps; autres qui; b. a.; b. a.; babin; bashar al-assad; bildt; bush; bush; chris; chris; chris walsh; chris ware; clinton; clinton; cnnmoney; cv; daniel .; daniel .; daniel cormier; daniel ricciardo; danny devito; daphne; darwin; david cameron; david cameron; david cameron; david duke; david kramer; david ryder; david ryder; david subject; david subject; davis; davis; davis; davis; dawson; dixon; doesn; doesn; don; don; don; donald trump; donald trumps; douglas; ed ou; ed ou; ed.; edward davies; ees cv; elizabeth; eric jensen; eric jensen; eric p; eric p; ernie hudson; eu; eu states; fantastic; fantastic; gandhi; gary kurtz; george freeman; george w. bush; gorbachev; greg; greg capullo; hannah; hans christian; ian; ian; ian brown; ian brown; ian brown; ian caldwell; ian cohen; ian cole; ian cox?™s; ian cox?™s; ian cox?™s; ian ferguson; ian fleming?™s; ian gillan; ian gillan; ian gillan; ian gow; ian hardingham; ian holmes; ian johnson; ian jones; ian llewellyn; ian macdonald; ian macdonald; ian macdonald; ian martin; ian mcelroy; ian mckellen; ian reynolds; ian sams; ian stewart; ian stewart; ian stewart; ian stewart; ian thomas; ian walsh; ian wilkinson; ian williams; iaolong; ivan; ix; j. davis jr.; j. davis jr.; jackie; james; james bond; james foley; james hudgins; james robinson; james robinson; james zimmerman; jason; java; java se; jay black; jay black; jay-z; jeffrey lewis; jeffrey lewis; jennifer a.; jennifer a.; jennifer lawrence; jennifer lawrence; jennifer lawrence; jerry garcia; jesus; jesus; jesus; jesus didn; jim; jim henson; joe; joe fowler; joe fowler; joe stork; joe stork; joe stork; johansen; john; john berryman; john carter; john jay; john madden; john mcgowan; john mcgowan; john mchugh; john mchugh; john whitehead; johnson; jonathan williams; josef stalin; joseph; joseph; joseph; joseph smith; joseph smith; joseph smith; josey; k1; k1; k2; k2; kane; kanye west; kara; kathleen hanna; kathleen hanna; keith moon; kelvin; kelvin; ken burns; ken burns; ken burns; ken kennedy; kenny andrew; kepler; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin davis; kevin herndon; kevin kevin; kevin kevin; kevin kim; kevin kim; kevin morning; kevin morning; kevin presto; kevin presto; kevin robinson; kevin robinson; kim; kim; kolb; kramer; kylo; larry; larry; laura sager; lavorato john; layton john; lee chris; lee chris; lori scott; lori scott; louis; lover s; luis hernandez; marijuana; mark abraham; mark abraham; mark twain; matt; mccarthy; mccarthy; mccarthy; mee; mee; michael; michael; michael smith; mike; mikhail gorbachev; mitt romney; morgan; msc; msp; n. vernon; n. vernon; nichols; nick hurd; nikolai volk; nova; nova; nuis; obama; oc s; oc s; oc s; paul 20; pcmcia; peter michael; peter michael; pha .; pha .; pha .; phoenix; rick scott; roger; ronald reagan; ross katz; ross katz; ross katz; ruth kelly; s vocal; sasha; sergio perez; sharon van; sinn fein; sinn fein; sinn fein; smith; steven gould; steven gould; stewart; stewart; thomas peter; thomas peter; tim presto; tom scott; 
"Promotional content (products, subscriptions, etc.)",3,click here; click here; click here
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",85,Stoltenberg@hotmail.com; a..martin@enron.com; arsystem@mailman.enron.com; chris.dorland@enron.com; claudia.guerra@enron.com; dale.furrow@enron.com; dana.davis@enron.com; dana.davis@enron.com; dana.davis@enron.com; david.forster@enron.com; david.forster@enron.com; david.portz@enron.com; dean@enron.com; debra.davidson@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; edward.baughman@enron.com; edward.baughman@enron.com; f..campbell@enron.com; gautam.gupta@enron.com; herrera@enron.com; jae.black@enron.com; jason.choate@enron.com; jason.choate@enron.com; jennifer.rosado@enron.com; joe.errigo@enron.com; joe.errigo@enron.com; john.kinser@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.llodra@enron.com; karen.buckley@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; l..nicolay@enron.com; laura.podurgiel@enron.com; leary@enron.com; lisa.shoemake@enron.com; lloyd.will@enron.com; louise.kitchen@enron.com; louise.kitchen@enron.com; louise.kitchen@enron.com; m..forney@enron.com; m..forney@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; mike.carson@enron.com; mike.carson@enron.com; mitch.robinson@enron.com; mitch.robinson@enron.com; patrick.hanse@enron.com; peter.makkai@enron.com; rika.imai@enron.com; rika.imai@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers@enron.com; russ@enron.com; russ@enron.com; ryan.williams@enron.com; s..shively@enron.com; sarah.novosel@enron.com; stephanie.panus@enron.com; steve.wang@enron.com; strat_alert@hotmail.com; susan.lindberg@enron.com
Code,31,<formula>; <formula>; <formula>; <formula>; <formula>; <formula>; <formula>; <formula>; <formula>; <formula>; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; function ; function ; function ; function ; function ; function 
Configuration files,140,"[ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ... ]; [ ...]; [ ...]; [ 0 ]; [ 0 ]; [ 1 , 2 ]; [ 1 ]; [ 1 ]; [ 1 ]; [ 1 ]; [ 1 ]; [ 2 ]; [ 2 ]; [ 6 ]; [ DJ ]; [ F ]; [ F ]; [ H ]; [ John ]; [ N ]; [ N ]; [ T ]; [ T ]; [ Ted ]; [ W ]; [ W ]; [ ]; [ ]; [ ]; [ ]; [ a ]; [ a ]; [ a ]; [ a ]; [ about ]; [ about ]; [ about ]; [ about ]; [ and ]; [ and ]; [ and ]; [ and ]; [ and ]; [ b ]; [ b ]; [ b ]; [ b ]; [ but ]; [ edit ]; [ edit ]; [ he ]; [ him ]; [ is ]; [ it ]; [ me ]; [ n ]; [ of ]; [ of ]; [ of ]; [ our ]; [ p ]; [ q ]; [ s ]; [ season ]; [ sic ]; [ sic ]; [ sic ]; [ sic ]; [ t ]; [ t ]; [ t ]; [ the artist ]; [ we ]; [ we ]; [ we ]; [ were ]; [.]; [10]; [10]; [17]; [18]; [19]; [1]; [1]; [1]; [1]; [1]; [1]; [2011]; [2]; [2]; [30]; [34]; [35]; [36]; [37]; [4g]; [9]; [9]; [a]; [at the moment]; [b]; [b]; [b]; [email protected]; [email protected]; [i would say]; [laughs.]; [laughs.]; [laughs.]; [laughs]; [mcconnell]; [n 20]; [n 20]; [n 20]; [o]; [o]; [p]; [p]; [p]; [r]; [r]; [r]; [that]; [that]; [the]; [they]; [they]; [to]; [us president barack]; [we are]; [we are]"
Religious texts,23,Bible; Bible; God; God; God; God; God; Jesus; Jesus; Jesus; god; god; god; god; god; jesus; jesus; jesus; prophet; prophet
Pseudonyms,0,
Donald Trump tweets and quotes,2,donald trump; donald trump
"Web forms (menu items, instructions, etc.)",0,
Tech News,2,wired; wired
"Lists of numbers (dates, sequences, etc.)",157,"0 1; 0 1; 0 10; 0 4; 000 3 3; 01 2002 8; 09 2001; 09 2001; 1 18; 1 2; 1 2; 1 2; 1 2; 1 2 10; 1 2 2 3; 1 2 9 3; 1 2017; 1 3 4; 1 5; 1 5; 1 6; 1,000; 1,000; 10 10 21; 10 12 27; 10,000; 10,000; 10,000; 11 6; 12 2001 1; 12 2001 1; 12 25 2; 13 12; 13 13 15; 13 5; 14 25 2; 15 12 8; 15 5; 15 8; 2 1 7; 2 13; 2 2; 2 2; 2 2; 2 2; 2 3; 2 3 8 9; 2 4; 2 7; 2001 00; 2001 01; 2001 01; 2001 01; 2001 01; 2001 02; 2001 02; 2001 06; 2001 06; 2001 06; 2001 07; 2001 07; 2001 07; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 09; 2001 09; 2001 09; 2001 09; 2001 09; 2001 10; 2001 10; 2001 10; 2001 1053; 2001 1053; 2001 12; 2001 12; 2001 12; 2001 13; 2001 13; 2001 13; 2001 14; 2001 15; 2001 15; 2001 15; 2001 16; 2001 16; 2001 16; 2001 16; 2001 18; 2001 18; 2001 21; 2001 21; 2002 06; 2002 06; 2002 08; 2002 08; 2002 08; 2002 08; 2002 09; 2002 13; 2002 13; 2002 13; 2002 13; 2002 15; 2002 16; 2002 18; 2002 7; 2011 10; 2011 10; 2011 15; 2012 13; 2012 17; 2012 17; 2013 14; 2014 15; 21 100; 21 17; 21 30; 23 2002; 23 2002; 24 1 4; 28 10; 3 14; 3 3 2 4; 3 4; 3 4; 3 5; 3 5; 3 8; 31 18; 38 35; 4 1; 4 1; 4 18; 4 2 4; 4 7; 41 12; 44 40 36; 5 5; 5 6; 5 8; 50,000; 6 1; 6 11 14; 6 9; 6 9; 7 14; 8 6 5; 9 12 21; 9 3; 9 8 6 7"
,,
Total Samples,528,
