Category,Count,Examples
US and International News,16,Russia; Russia; Russia; Russia; Russia; UN; trump
Log files and error reports,0,
"License, terms of use, copyright notices",16,Copyright; Copyright; copyright; license; license; license; license; license; terms of use
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,0,
Valid URLs,0,
Named individuals (non-news samples only),75,Anna; Anna; Bing; Brexit; Brown; Browns; Chelsea; Clinton; Clinton; Clinton; David; David; G.; G.; Hans; Hans; Jr.; Jr.; Kevin; Kristoff; Kristoff; Lee; MBS; MBS; Malachi; Malachi; Margaret; Margaret; Mayer; Michele; Michele; Michele; Ralph; Ralph; Rice; Rice; Robert H; Sri Lanka; Sri Lanka; Steven; Suite; T4; Tan; Twitter; Twitter; Watson; al; al.; al.; al.; banana; blueberry; diane jones; ed.; garlic; jimmy; jimmy; johnson; laura; marijuana; max; mccarthy; polyvinyl chloride; sweet potato; typeof
"Promotional content (products, subscriptions, etc.)",10,click here; free trial; free trial; subscribe
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",16,0000005; 2000 0110; 2000 0110; 2000 1130; 2001 0930; 2001 1320; 2002 1540; 2010713; @gmail; @gmail; info@enron.com; john.chang@enron.com; larry.davis@enron.com; tom@enron.com
Code,14,class ; class ; class ; function ; function 
Configuration files,0,
Religious texts,0,
Pseudonyms,0,
Donald Trump tweets and quotes,0,
"Web forms (menu items, instructions, etc.)",0,
Tech News,4,cloud computing; cloud computing; cloud computing
"Lists of numbers (dates, sequences, etc.)",168,"0 1; 0 19; 00,2; 0014 0800; 01 0630; 01,1; 013,2; 015,40; 02 1000; 02,7; 027,0; 03 1100; 03,0; 04 1300; 04,6; 05 1400; 05,0; 06 17; 06,5; 07,0; 08,3; 09,4; 1 200; 1 27; 1 28; 1 32; 1 33; 1 34; 1 35; 1 36; 1,000; 1,000; 1,000; 1,000; 1,2,3,4,5,6,7,8,9,10; 1,500; 1,500; 1,500; 1,700; 1,902; 10,000; 10,000; 10,12; 10,9; 100,000; 11,600; 12 15; 12,000; 13,400; 14,700; 16,900; 17,850; 19,750; 2 29; 2 31; 2,000; 2,000; 2,000; 2,100; 2,200; 2,500; 2,900; 2,900; 20 21; 20 21; 20 21 22; 20 21 22; 20,1; 2000 0110; 2000 0110; 2000 11300; 2001 00; 2001 00; 2001 0930; 2001 11; 2001 13200; 2002 15400; 2004 18; 2004 18; 22,250; 22,8; 24 39; 27 0700; 29,60; 3 30; 3,000; 3,000; 3,000; 3,800; 31,57; 32,550; 333 15; 35,4; 36 20; 36,14; 37,950; 38,15; 4,100; 4,400; 4,700; 40,32; 41 23; 42,1; 43,5; 46 21; 48,12; 48,125; 5,300; 5,600; 5,800; 50,000; 50,000; 50,2; 51 35; 52 20; 53 29; 54,11; 55 32; 56 28; 58,7; 59 38; 6,900; 61,2; 62 46; 63 22; 64 43; 68 16; 69 25; 7,200; 71 31; 75 24; 786,9; 79 22; 79,14; 8,500; 8,500; 80,67; 82 26; 84 26; 86 18; 86,3; 87 24; 87,10; 88 45; 89 36; 9,000; 9,300; 90 23; 91 27; 93 25; 94 21; 94 42; 95,66; 96 19; 984,8"

Total Samples,378
