Category,Count,Examples
US and International News,137,Russia; Russia; biden; biden; biden; biden; biden; bloomberg; china; china; china; china; china; china; china; china; china; china; china; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; cnn; nato; nato; nato; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; reuters; russia; russia; russia; russia; russia; russia; russia; russia; russia; russia; russia; russia; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; the new york times; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; trump; ukraine; un; un; un; un; un; un; un; un; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house; white house
Log files and error reports,0,
"License, terms of use, copyright notices",5,all rights reserved; copyright; copyright; copyright; license
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,0,
Valid URLs,0,
Named individuals (non-news samples only),197,Arlene; Bermuda; Bessie; Breitenberg; Breitenberg; Carey; Carey; Dora; Dora; Douglas; Draft; Draft; Draft; Draft; Draft; Draft; Estelle; Estelle; Frances; Frances; Fri; Fri; Fri; Fri; Fri; Graham; Graham; Hilde; Hilde; Hintz; Hintz; Homenick; Homenick; Homer; Homer; Homer; Homer; Hoppe; Hoppe; Jackson; Janis; Janis; Jason; Jason; Jason; Jay; Jay; Jonathan; Jones; Jones; Jones; Jones; Kevin; Kiel; Kiel; Kiel; Kiel; Lakin; Lindgren - Lakin; Lindgren - Lakin; Lindgren - Lakin; Luke; Luke; Lula; Lula; McDermott; McDermott; McDermott; Mobility; Mobility; Mona; Mona; Mraz; Mraz; Mraz; Mraz; Mraz; Mraz; Ollie; Ollie; Perry; Perry; Perry; Perry; Perry; Reichel; Reichel; Robert; Rose; Rose; Santos Kuphal; Santos Kuphal; Shari Adams; Shari Adams; Streich; Streich; Tromp; Tromp; Wanda; Wanda; Williamson; Williamson; Williamson; Williamson; Yvette; Yvette; Zulauf Inc; Zulauf Inc; Zulauf Inc; aaron; al; alan greenspan; albert hall; albert hall; albert hall; andrew; angela merkel; angela merkel; angela merkel; arlen specter; aston villa; bain; bain; bashar al; bashar al; bashar al; bashar al; bashar al; beauregard; bill bain; bill bain; bill clinton; brenda; brenda; brenda; brenda; brendan; brian ross; bush; charlie; chris; chris; chris; chris; chris; chris; chris allen; chris allen; christie; chuck; chuck; chuck; cohen; cohen; cohen; cohen; cohen; cohen; cohen; cohen; cohen; cohen; cohen; cohen; darren; david; david; david; david; david duchovny; davis; davis; davis; davis; devin; devin; devin; devin; devin; dmitry medvedev; elizabeth; elizabeth; elizabeth; elizabeth; elizabeth; eric holder; eric holder; eric holder; eric holder; eric holder; flynn; fred hoiberg; fred hoiberg; gen.; gen.; george h.w; greenspan; hart; hillary; hillary; hillary; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hillary clinton; hussein; hussein; hussein; hussein; hussein; jacksonville; james comey; james comey; james comey; james comey; james comey; james comey; james comey; james comey; james g.; james park; james sensenbrenner; james sensenbrenner; james sensenbrenner; james sensenbrenner; james sensenbrenner; jeff; jim harbaugh; john boehner; john boehner; john boehner; john boehner; john boehner; john boehner; john boehner; john boehner; john boehner; john boozman; john boozman; john mccain; john milton; john podesta; jonathan; jonesen; jonesen; jonesen; jonesen; jordan; jordan; jordan; jpmorgan chase; jpmorgan chase; jpmorgan chase; jpmorgan chase; jpmorgan chase; kaine; kaine; kaine; kaine; kaine; kane; karl malone; karl malone; karl malone; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin subject; kevin subject; kevin subject; kevin subject; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim; kim jong; kim jong; kim jong; kim jong; kim jong; kim jong; kimberley; kimberley; kimberley; kimberley; kimberley; kramer; kramer; kramer; kramer; kramer; kushner; kyle; kyle; lopez; lopez; lopez; lopez; lopez; louise; louise; louise; louise; lsu vs.; maddie; mao zedong; mao zedong; mao zedong; marc stein; marc stein; marc stein; mark cuban; mark cuban; mark cuban; matthew taylor; mccain; mccain; mccain; mccain; mccain; medvedev; michael; michael; michael jordan; michael jordan; michael jordan; michael jordan; michael jordan; michael thomas; mike myers; mike ryan; mitch mcconnell; mitch mcconnell; mitch mcconnell; mitch mcconnell; mitch mcconnell; mitt romney; mitt romney; mitt romney; nancy; nancy; nancy; nancy; nancy; nancy pelosi; nancy pelosi; nancy pelosi; nancy pelosi; nancy pelosi; notre dame; obama; obama; obama; obama; obama; obama; orrin hatch; palin; palin; palin; paul; paul; pete wilson; peter; pittsburgh; putin; putin; putin; putin; putin; reid; rice; richard blumenthal; richard blumenthal; richard blumenthal; richard blumenthal; richard blumenthal; rick santorum; rick santorum; rick santorum; robert mueller; romney; romney; romney; ron johnson; ron johnson; ron johnson; ryan; seth; shari thomas; shari thomas; shari thomas; shari thomas; shari thomas; shimkus; shimkus; shimkus; shimkus; stanley cup; steve; steve; steve; steve; steve; steve; steve cohen; steve cohen; steve king; steve king; steve king; steve king; steve king; steve knight; tim; tom brady; tony blair; tony blair; vicki; vicki; vicki; vicki; vicki; zinke; zinke; zinke
"Promotional content (products, subscriptions, etc.)",64,click here; click here; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe; subscribe
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",89,amy.fitzpatrick@enron.com; amy.fitzpatrick@enron.com; amy.fitzpatrick@enron.com; amy.fitzpatrick@enron.com; amy.fitzpatrick@enron.com; bill.rust@enron.com; bill.rust@enron.com; bill.rust@enron.com; bill.rust@enron.com; bill.rust@enron.com; billy.braddock@enron.com; billy.braddock@enron.com; billy.braddock@enron.com; billy.braddock@enron.com; dana.davis@enron.com; dana.davis@enron.com; dana.davis@enron.com; dana.davis@enron.com; david.portz@enron.com; david.portz@enron.com; david.portz@enron.com; david.portz@enron.com; f..calger@enron.com; f..calger@enron.com; f..calger@enron.com; f..calger@enron.com; f..calger@enron.com; frank.ermis@enron.com; frank.ermis@enron.com; frank.ermis@enron.com; frank.ermis@enron.com; jim.fallon@enron.com; jim.fallon@enron.com; jim.fallon@enron.com; jim.fallon@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; karen.buckley@enron.com; karen.buckley@enron.com; karen.buckley@enron.com; karen.buckley@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; robert.benson@enron.com; robert.benson@enron.com; robert.benson@enron.com; robert.benson@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; s..smith@enron.com; s..smith@enron.com; s..smith@enron.com; s..smith@enron.com
