Category,Count,Examples
US and International News,20,Russia; UN; UN; bbc; china; china; cnn; cnn; nato; nato; reuters; russia; the new york times; trump; trump; trump; trump; trump; white house; white house
Log files and error reports,0,
"License, terms of use, copyright notices",2,copyright; license
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,0,
Valid URLs,0,
Named individuals (non-news samples only),260,Arthur; Bart; Bill; Brown; Carey; Darwin; Darwin; David; Delph; Dibbert Inc; Dibbert Inc; Don; Dylan; Elizabeth; Ethel; Fiona; Foster; Garrick; Graham; Harrison; Homer; Jack; Jammie; Jazmyne; Jazmyne; Jim; Jim; Joe; Joe; John; Jose; Jose; Jose; Joseph Smith; Kelly; Kennedy; Koss; Kristin; Kristine; Langosh; Langosh; Law; Law; Lindgren; Lindgren; Lindgren; Lueilwitz; Lueilwitz; Lyle; Marshall; Maya; Michael; Model Canvas; Moore; Mraz; Myron; Neil; Nigel; Pietro; Pietro; Pollich; Rachel; Reid; Robert; Robert G; Ruth; Sabrina; Sabrina; Schowalter; Simeon; Smith; Sue; Susan; Ted; Thomas; Tony; Vol; Welch; Welch; alan subject; albert einstein; albert einstein; anderson; anderson; anderson; ann-marie; apps; bush; bush; chris; chris; chris walsh; chris ware; clinton; clinton; cnnmoney; cv; daniel .; daniel .; danny devito; danny goss; daphne; darwin; david kramer; david ryder; david ryder; david subject; david subject; davis; davis; davis; davis; dawson; dixon; donald trump; donald trumps; douglas; elizabeth; eric jensen; eric jensen; gandhi; george w. bush; gorbachev; greg; hannah; hans christian; ian; ian; ian brown; ian brown; ian brown; ian caldwell; ian cohen; ian cole; ian ferguson; ian johnson; ian jones; ian martin; ian mckellen; ian reynolds; ian stewart; ian stewart; ian stewart; ian stewart; ian thomas; ian walsh; ian williams; ivan; ix; jackie; james; james bond; james robinson; james robinson; james zimmerman; jason; jennifer a.; jennifer a.; jerry garcia; jim; jim henson; joe; johansen; john; john carter; john jay; john madden; john mcgowan; john mcgowan; johnson; josef stalin; joseph; joseph; joseph; joseph smith; joseph smith; joseph smith; josey; kane; kara; kelvin; kelvin; ken burns; ken burns; ken burns; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin; kevin davis; kevin herndon; kevin kevin; kevin kevin; kevin kim; kevin kim; kevin presto; kevin presto; kim; kim; kolb; kramer; kylo; larry; larry; lavorato john; lee chris; lee chris; lori scott; lori scott; louis; lover s; luis hernandez; mark twain; matt; mccarthy; mccarthy; mccarthy; michael; michael; michael smith; mike; mike; mikhail gorbachev; mitt romney; morgan; msc; n. vernon; n. vernon; nichols; nova; nova; nuis; obama; peter michael; peter michael; phoenix; rick scott; roger; ronald reagan; ruth kelly; sasha; sharon van; smith; stewart; stewart; thomas peter; thomas peter; tim presto; tom scott; trump;
"Promotional content (products, subscriptions, etc.)",3,click here; click here; click here
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",109,09252001; 09252001; 2001 1053; 2001 1053; @en; @enron; @enron; @enron; @enroncom; @ens; @ens; @gmail; @gmail; @hill; @hill; @id; @mailman; @mailman; @office; @q; Stoltenberg@hotmail.com; a..martin@enron.com; arsystem@mailman.enron.com; chris.clark@enron.com; chris.dorland@enron.com; claudia.guerra@enron.com; dale.furrow@enron.com; dana.davis@enron.com; dana.davis@enron.com; dana.davis@enron.com; david.forster@enron.com; david.forster@enron.com; david.portz@enron.com; dean@enron.com; debra.davidson@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; doug.gilbert-smith@enron.com; edward.baughman@enron.com; edward.baughman@enron.com; f..campbell@enron.com; gautam.gupta@enron.com; hale@enron.com; herrera@enron.com; jae.black@enron.com; jason.choate@enron.com; jason.choate@enron.com; jennifer.rosado@enron.com; joe.errigo@enron.com; joe.errigo@enron.com; john.kinser@enron.com; john.lavorato@enron.com; john.lavorato@enron.com; john.llodra@enron.com; karen.buckley@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; kevin.presto@enron.com; l..nicolay@enron.com; laura.podurgiel@enron.com; leary@enron.com; lisa.shoemake@enron.com; littlejohn@enron.com; lloyd.will@enron.com; louise.kitchen@enron.com; louise.kitchen@enron.com; louise.kitchen@enron.com; m..forney@enron.com; m..forney@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; m..presto@enron.com; mike.carson@enron.com; mike.carson@enron.com; mitch.robinson@enron.com; mitch.robinson@enron.com; patrick.hanse@enron.com; peter.makkai@enron.com; rika.imai@enron.com; rika.imai@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers.herndon@enron.com; rogers@enron.com; russ@enron.com; russ@enron.com; ryan.williams@enron.com; s..shively@enron.com; sarah.novosel@enron.com; shirley.taylor@enron.com; stephanie.panus@enron.com; steve.wang@enron.com; strat_alert@hotmail.com; susan.lindberg@enron.com
